id,doctorId,dayOfWeek,startMinute,endMinute,createdAt,updatedAt
dr-alexandra-chen-sun-1500,dr-alexandra-chen,0,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-alexandra-chen-mon-1500,dr-alexandra-chen,1,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-alexandra-chen-wed-1500,dr-alexandra-chen,3,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-alexandra-chen-thu-1500,dr-alexandra-chen,4,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-alexandra-chen-fri-1500,dr-alexandra-chen,5,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-alexandra-chen-sat-1500,dr-alexandra-chen,6,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-marcus-wright-mon-1500,dr-marcus-wright,1,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-marcus-wright-tue-1500,dr-marcus-wright,2,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-marcus-wright-wed-1500,dr-marcus-wright,3,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-marcus-wright-thu-1500,dr-marcus-wright,4,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-marcus-wright-fri-1500,dr-marcus-wright,5,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-leila-hassan-mon-1500,dr-leila-hassan,1,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-leila-hassan-tue-1500,dr-leila-hassan,2,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-leila-hassan-wed-1500,dr-leila-hassan,3,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-leila-hassan-thu-1500,dr-leila-hassan,4,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-leila-hassan-fri-1500,dr-leila-hassan,5,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-tamzid-idrish-mon-1500,dr-tamzid-idrish,1,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-tamzid-idrish-tue-1500,dr-tamzid-idrish,2,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-tamzid-idrish-wed-1500,dr-tamzid-idrish,3,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-tamzid-idrish-thu-1500,dr-tamzid-idrish,4,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
dr-tamzid-idrish-fri-1500,dr-tamzid-idrish,5,900,1080,2026-09-14 00:00:00+00,2026-09-14 00:00:00+00
